"DATE"	"TIME"	"FRAC_DAYS_SINCE_JAN1"	"FRAC_HRS_SINCE_JAN1"	"EPOCH_TIME"	"ALARM_STATUS"	"INST_STATUS"	"CavityPressure"	"CavityTemp"	"WarmBoxTemp"	"DasTemp"	"OutletValve"	"HR_12CH4"	"HR_12CH4_dry"	"HR_Delta_iCH4_Raw"	"HR_Delta_iCH4_30s"	"HR_Delta_iCH4_2min"	"HR_Delta_iCH4_5min"	"ChemDetect"	"H2O"	"X12CO2"	"X12CO2_dry"	"X13CO2"	"Delta_Raw_iCO2"	"Delta_30s_iCO2"	"Delta_2min_iCO2"	"Delta_5min_iCO2"
"2018-06-13"	"19:56:26.493"	163.49752887	3923.940693	1528919786.494	0	963	148.00025558	44.998252869	44.996574402	30.25	32094.282715	1.8845738674	1.8858441797	-43.542911963	-46.946358819	-45.437771059	-43.832568924	0	0.042768597409	403.55641598	403.85524649	4.5293027466	-1.9610032565	-1.9282999239	-2.1220171411	-3.1530498144
"2018-06-13"	"19:56:27.006"	163.49753479	3923.940835	1528919787.006	0	963	148.00567353	44.998252869	44.996574402	30.25	32100.090996	1.8845738674	1.8858441797	-43.542911963	-46.946358819	-45.437771059	-43.832568924	0	0.042768597409	403.55641598	403.85524649	4.5295336507	-1.9101231688	-1.9572834642	-2.0695676466	-3.1352731504
"2018-06-13"	"19:56:28.269"	163.49754942	3923.941186	1528919788.27	0	963	148.00374091	44.998252869	44.996574402	30.25	32108.455941	1.869260806	1.8705020954	-41.933846019	-45.831819157	-45.17092895	-43.836526695	0	0.042665300837	403.55641598	403.85524649	4.5295336507	-1.9101231688	-1.9572834642	-2.0695676466	-3.1352731504
"2018-06-13"	"19:56:29.622"	163.49756508	3923.941562	1528919789.623	0	963	147.99962116	44.998198764	44.996506771	30.25	32107.24296	1.869260806	1.8705020954	-41.933846019	-45.831819157	-45.17092895	-43.836526695	0	0.042665300837	403.55641598	403.85524649	4.5295336507	-1.9101231688	-1.9572834642	-2.0695676466	-3.1352731504
"2018-06-13"	"19:56:30.117"	163.4975708	3923.941699	1528919790.117	0	963	147.99996948	44.998130798	44.996421814	30.25	32107.484375	1.869260806	1.8705020954	-41.933846019	-45.831819157	-45.17092895	-43.836526695	0	0.042665300837	403.91016756	404.20853595	4.5334960519	-1.9101231688	-1.9572834642	-2.0695676466	-3.1352731504
"2018-06-13"	"19:56:30.614"	163.49757655	3923.941837	1528919790.614	0	963	148.00237249	44.998130798	44.996421814	30.25	32111.042711	1.869260806	1.8705020954	-41.933846019	-45.831819157	-45.17092895	-43.836526695	0	0.042665300837	403.91016756	404.20853595	4.5415955334	-0.12694957196	-1.7424239334	-2.0165407935	-3.0597422904
"2018-06-13"	"19:56:31.865"	163.49759104	3923.942185	1528919791.866	0	963	147.99976323	44.998130798	44.996421814	30.25	32108.897184	1.8747147527	1.8759566568	-41.618989008	-45.960719895	-45.552370263	-43.79984005	0	0.042240888714	403.91016756	404.20853595	4.5415955334	-0.12694957196	-1.7424239334	-2.0165407935	-3.0597422904
"2018-06-13"	"19:56:33.221"	163.49760674	3923.942562	1528919793.222	0	963	147.99626143	44.998130798	44.996421814	30.25	32104.083491	1.8747147527	1.8759566568	-41.618989008	-45.960719895	-45.552370263	-43.79984005	0	0.042240888714	403.91016756	404.20853595	4.5415955334	-0.12694957196	-1.7424239334	-2.0165407935	-3.0597422904
"2018-06-13"	"19:56:33.733"	163.49761265	3923.942704	1528919793.733	0	963	147.99423218	44.998130798	44.996421814	30.25	32101.085938	1.8747147527	1.8759566568	-41.618989008	-45.960719895	-45.552370263	-43.79984005	0	0.042240888714	404.12623123	404.4217847	4.543991548	-0.12694957196	-1.7424239334	-2.0165407935	-3.0597422904
"2018-06-13"	"19:56:34.253"	163.49761867	3923.942848	1528919794.253	0	963	147.9906249	44.998130798	44.99639968	30.25	32093.567529	1.8747147527	1.8759566568	-41.618989008	-45.960719895	-45.552370263	-43.79984005	0	0.042240888714	404.12623123	404.4217847	4.5386455637	-1.3032954222	-1.6729364911	-1.9632928707	-3.0119722213
"2018-06-13"	"19:56:35.516"	163.4976333	3923.943199	1528919795.517	0	963	148.00443459	44.998130798	44.996238708	30.2671875	32103.254297	1.8850561814	1.8862924993	-48.020743395	-47.235810927	-45.866029994	-43.866513981	0	0.042778977294	404.12623123	404.4217847	4.5386455637	-1.3032954222	-1.6729364911	-1.9632928707	-3.0119722213
"2018-06-13"	"19:56:36.858"	163.49764883	3923.943572	1528919796.859	0	963	148.0007958	44.998130798	44.996238708	30.25	32105.468299	1.8850561814	1.8862924993	-48.020743395	-47.235810927	-45.866029994	-43.866513981	0	0.042778977294	404.12623123	404.4217847	4.5386455637	-1.3032954222	-1.6729364911	-1.9632928707	-3.0119722213
"2018-06-13"	"19:56:37.342"	163.49765443	3923.943706	1528919797.343	0	963	148.00003195	44.998130798	44.996238708	30.25	32105.358765	1.8850561814	1.8862924993	-48.020743395	-47.235810927	-45.866029994	-43.866513981	0	0.042778977294	403.99168245	404.2909073	4.537176785	-1.3032954222	-1.6729364911	-1.9632928707	-3.0119722213
"2018-06-13"	"19:56:37.849"	163.4976603	3923.943847	1528919797.85	0	963	148.00192182	44.998130798	44.996238708	30.25	32107.907352	1.8850561814	1.8862924993	-48.020743395	-47.235810927	-45.866029994	-43.866513981	0	0.042778977294	403.99168245	404.2909073	4.535337347	-1.7081817056	-1.7536118747	-1.9106755103	-2.9858067335
"2018-06-13"	"19:56:39.081"	163.49767455	3923.944189	1528919799.081	0	963	147.99851739	44.998109436	44.996211243	30.25	32103.90175	1.8607719895	1.8620079325	-33.666262333	-45.401560861	-45.353647203	-43.734814667	0	0.04158028902	403.99168245	404.2909073	4.535337347	-1.7081817056	-1.7536118747	-1.9106755103	-2.9858067335
"2018-06-13"	"19:56:40.321"	163.4976889	3923.944534	1528919800.321	0	963	148.00074321	44.997917175	44.99596405	30.25	32105.202953	1.8607719895	1.8620079325	-33.666262333	-45.401560861	-45.353647203	-43.734814667	0	0.04158028902	403.99168245	404.2909073	4.535337347	-1.7081817056	-1.7536118747	-1.9106755103	-2.9858067335
"2018-06-13"	"19:56:40.821"	163.49769469	3923.944673	1528919800.821	0	963	148.00074196	44.997917175	44.99596405	30.25	32105.535034	1.8607719895	1.8620079325	-33.666262333	-45.401560861	-45.353647203	-43.734814667	0	0.04158028902	404.13599855	404.42692988	4.5368632489	-1.7081817056	-1.7536118747	-1.9106755103	-2.9858067335
"2018-06-13"	"19:56:41.325"	163.49770052	3923.944813	1528919801.325	0	963	147.99990923	44.997917175	44.99596405	30.25	32105.003856	1.8607719895	1.8620079325	-33.666262333	-45.401560861	-45.353647203	-43.734814667	0	0.04158028902	404.13599855	404.42692988	4.5365394143	-1.7794383069	-1.7092674441	-1.9069258759	-2.9519088742
"2018-06-13"	"19:56:42.569"	163.49771492	3923.945158	1528919802.569	0	963	147.99990654	44.997917175	44.99596405	30.25	32105.776717	1.8830091952	1.8842248134	-50.633260154	-45.517016947	-45.504493288	-43.939514539	0	0.042185638714	404.13599855	404.42692988	4.5365394143	-1.7794383069	-1.7092674441	-1.9069258759	-2.9519088742
"2018-06-13"	"19:56:43.816"	163.49772936	3923.945505	1528919803.817	0	963	147.9977099	44.997917175	44.99596405	30.25	32102.350189	1.8830091952	1.8842248134	-50.633260154	-45.517016947	-45.504493288	-43.939514539	0	0.042185638714	404.13599855	404.42692988	4.5365394143	-1.7794383069	-1.7092674441	-1.9069258759	-2.9519088742
"2018-06-13"	"19:56:44.325"	163.49773524	3923.945646	1528919804.325	0	963	148.00120544	44.997917175	44.99596405	30.25	32104.458984	1.8830091952	1.8842248134	-50.633260154	-45.517016947	-45.504493288	-43.939514539	0	0.042185638714	404.41141128	404.70678543	4.5396786111	-1.7794383069	-1.7092674441	-1.9069258759	-2.9519088742
"2018-06-13"	"19:56:44.812"	163.49774089	3923.945781	1528919804.813	0	963	148.00092296	44.997879615	44.99594527	30.25	32104.713391	1.8830091952	1.8842248134	-50.633260154	-45.517016947	-45.504493288	-43.939514539	0	0.042185638714	404.41141128	404.70678543	4.5348996847	-2.8302665641	-1.7685520628	-1.8949095283	-2.9175599908
"2018-06-13"	"19:56:46.030"	163.49775499	3923.94612	1528919806.031	0	963	147.99795589	44.997673035	44.99584198	30.25	32101.403971	1.8728114308	1.8740380938	-44.248467759	-44.499860734	-45.514577969	-43.91361433	0	0.042544108922	404.41141128	404.70678543	4.5348996847	-2.8302665641	-1.7685520628	-1.8949095283	-2.9175599908
"2018-06-13"	"19:56:47.265"	163.49776927	3923.946463	1528919807.265	0	963	147.99920654	44.997673035	44.99584198	30.25	32102.40625	1.8728114308	1.8740380938	-44.248467759	-44.499860734	-45.514577969	-43.91361433	0	0.042544108922	404.41141128	404.70678543	4.5348996847	-2.8302665641	-1.7685520628	-1.8949095283	-2.9175599908
"2018-06-13"	"19:56:47.769"	163.49777512	3923.946603	1528919807.77	0	963	147.99816227	44.997673035	44.99584198	30.25	32101.15564	1.8728114308	1.8740380938	-44.248467759	-44.499860734	-45.514577969	-43.91361433	0	0.042544108922	404.59908757	404.8971135	4.5370323861	-2.8302665641	-1.7685520628	-1.8949095283	-2.9175599908
"2018-06-13"	"19:56:48.282"	163.49778104	3923.946745	1528919808.282	0	963	148.00402804	44.997673035	44.99584198	30.25	32106.976398	1.8728114308	1.8740380938	-44.248467759	-44.499860734	-45.514577969	-43.91361433	0	0.042544108922	404.59908757	404.8971135	4.5334419124	-3.6193973157	-1.9422573181	-1.9630363951	-2.9257208899
"2018-06-13"	"19:56:49.519"	163.49779537	3923.947089	1528919809.52	0	963	147.98948348	44.997701645	44.995698929	30.224609375	32089.866394	1.8714601163	1.8726963314	-46.591821833	-44.516607685	-45.776004159	-43.944756278	0	0.041712184284	404.59908757	404.8971135	4.5334419124	-3.6193973157	-1.9422573181	-1.9630363951	-2.9257208899
"2018-06-13"	"19:56:50.739"	163.49780948	3923.947428	1528919810.739	0	963	147.9964366	44.99773407	44.995536804	30.213369963	32087.370328	1.8714601163	1.8726963314	-46.591821833	-44.516607685	-45.776004159	-43.944756278	0	0.041712184284	404.59908757	404.8971135	4.5334419124	-3.6193973157	-1.9422573181	-1.9630363951	-2.9257208899
"2018-06-13"	"19:56:51.233"	163.4978152	3923.947565	1528919811.233	0	963	148.0024395	44.99773407	44.995536804	30.23828125	32090.727783	1.8714601163	1.8726963314	-46.591821833	-44.516607685	-45.776004159	-43.944756278	0	0.041712184284	404.68446923	404.97672007	4.5343332295	-3.6193973157	-1.9422573181	-1.9630363951	-2.9257208899
"2018-06-13"	"19:56:51.739"	163.49782105	3923.947705	1528919811.739	0	963	148.00311726	44.99773407	44.995536804	30.25	32092.115242	1.8714601163	1.8726963314	-46.591821833	-44.516607685	-45.776004159	-43.944756278	0	0.041712184284	404.68446923	404.97672007	4.5319191117	-4.149878862	-2.1542815749	-2.0373050731	-2.9118282068
"2018-06-13"	"19:56:52.980"	163.49783543	3923.94805	1528919812.981	0	963	147.99839732	44.99773407	44.995536804	30.25	32088.71425	1.8677306758	1.8689402462	-36.61384448	-42.985571882	-45.691574277	-43.88423422	0	0.042305476299	404.68446923	404.97672007	4.5319191117	-4.149878862	-2.1542815749	-2.0373050731	-2.9118282068
"2018-06-13"	"19:56:54.230"	163.4978499	3923.948397	1528919814.231	0	963	148.00123892	44.99773407	44.995536804	30.25	32088.34815	1.8677306758	1.8689402462	-36.61384448	-42.985571882	-45.691574277	-43.88423422	0	0.042305476299	404.68446923	404.97672007	4.5319191117	-4.149878862	-2.1542815749	-2.0373050731	-2.9118282068
